id,subject,topic,question,A,B,C,D,answer,explanation,categoryKey,categoryLabel
1,Problem Solving,Logical Reasoning,"If all doctors are professionals and all professionals are educated, then:",All educated are doctors,All doctors are educated,Some doctors are not educated,Educated are not professionals,B,Transitive logic: doctors → professionals → educated,problem_solving,Problem Solving And Analytical Skills
2,Problem Solving,Pattern Recognition,"Find next: 2, 6, 12, 20, 30, ?",40,42,44,46,B,"Differences: 4,6,8,10,12 → 30+12=42",problem_solving,Problem Solving And Analytical Skills
3,Problem Solving,Logical Reasoning,"If A > B and B > C, then:",C > A,A > C,A = C,B > A,B,Transitive property of inequality,problem_solving,Problem Solving And Analytical Skills
4,Problem Solving,Quantitative Reasoning,A train travels 60 km in 45 minutes. What is its speed in km/h?,80,70,75,90,A,60/(45/60) = 60 × 60/45 = 80 km/h,problem_solving,Problem Solving And Analytical Skills
5,Problem Solving,Algorithmic Thinking,What is the time complexity of accessing an element in an array by index?,O(n),O(log n),O(1),O(n²),C,Array index access is always constant time,problem_solving,Problem Solving And Analytical Skills
6,Problem Solving,Pattern Recognition,"Find next: 1, 4, 9, 16, 25, ?",30,36,49,32,B,Sequence of perfect squares: 6²=36,problem_solving,Problem Solving And Analytical Skills
7,Problem Solving,Critical Thinking,Which is NOT a step in problem solving?,Define problem,Ignore constraints,Analyze solutions,Implement solution,B,Constraints must be considered in problem solving,problem_solving,Problem Solving And Analytical Skills
8,Problem Solving,Debugging,A program outputs wrong results but does not crash. This is a:,Syntax error,Runtime error,Logic error,Compile error,C,Logic errors produce wrong output without crashing,problem_solving,Problem Solving And Analytical Skills
9,Problem Solving,Complexity,"If problem size doubles and runtime doubles, complexity is:",O(n²),O(log n),O(n),O(1),C,Linear growth means O(n) complexity,problem_solving,Problem Solving And Analytical Skills
10,Problem Solving,Logical Reasoning,All cats are animals. Whiskers is a cat. Therefore:,Whiskers may be an animal,Whiskers is not an animal,Whiskers is an animal,Animals are cats,C,Direct syllogism: Whiskers is a cat → Whiskers is an animal,problem_solving,Problem Solving And Analytical Skills
11,Problem Solving,Algorithmic Thinking,Which approach breaks a problem into smaller subproblems?,Iteration,Recursion,Brute force,Random search,B,Recursion solves by breaking into smaller instances,problem_solving,Problem Solving And Analytical Skills
12,Problem Solving,Pattern Recognition,"Find the odd one out: 2, 3, 4, 6, 9",2,3,4,9,C,All others are prime numbers; 4 is composite,problem_solving,Problem Solving And Analytical Skills
13,Problem Solving,Quantitative Reasoning,"If 5 workers finish a job in 10 days, how many days for 10 workers?",20,5,15,8,B,Inverse proportion: 5×10 = 10×x → x=5,problem_solving,Problem Solving And Analytical Skills
14,Problem Solving,Data Abstraction,What does abstraction mean in problem solving?,Writing code,Hiding unnecessary details,Adding complexity,Using loops,B,Abstraction focuses on essential features hiding details,problem_solving,Problem Solving And Analytical Skills
15,Problem Solving,Algorithmic Thinking,Flowchart diamond shape represents?,Process,Start/End,Decision,Input/Output,C,Diamond shapes represent decision/conditional steps,problem_solving,Problem Solving And Analytical Skills
16,Problem Solving,Complexity,O(n log n) is the complexity of which algorithm?,Bubble Sort,Merge Sort,Linear Search,Selection Sort,B,Merge sort has O(n log n) time complexity,problem_solving,Problem Solving And Analytical Skills
